Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"Git, Azure, JavaScript, SQL, Networking, Statistics","PyCharm, Jupyter, Google Cloud, Postman",IoT,Undergraduate,3,Embedded Systems Engineer
"Git, Docker, Linux, NLP, Networking","AWS EC2, GitHub, Postman, Figma",Cloud,Graduate,10,DevOps Engineer
"Machine Learning, Hadoop, CSS, SQL, Data Analysis, Linux","PyCharm, Jira, Jupyter, AWS EC2",Cloud,Graduate,8,Cloud Engineer
"Tableau, Machine Learning, React, NLP","VS Code, Docker, GitLab",Cloud,Postgraduate,9,Cloud Engineer
"NLP, Cybersecurity, Python, Spark, Embedded Systems, Node.js, JavaScript","Figma, GitLab, AWS EC2",IoT,Undergraduate,3,Embedded Systems Engineer
"JavaScript, Figma, Azure, HTML","Jupyter, Postman, Jira",AI/ML,Graduate,9,AI Engineer
"Embedded Systems, CSS, React, SQL, Tableau, Linux, Data Analysis","VS Code, GitHub, Jupyter, Google Cloud",Cloud,Undergraduate,3,DevOps Engineer
"Machine Learning, Kubernetes, Data Analysis, CSS, REST APIs","AWS EC2, VS Code, Google Cloud, Postman",Design,Graduate,0,UI/UX Designer
"Embedded Systems, Statistics, C++, NLP, Hadoop, HTML, Linux","Docker, VS Code, PyCharm",AI/ML,Graduate,9,Machine Learning Engineer
"Machine Learning, Docker, React, PyTorch, NLP, SQL","VS Code, Kubernetes, Azure Portal, Postman",AI/ML,Undergraduate,8,AI Engineer
"Statistics, PyTorch, TensorFlow, REST APIs, Node.js","Postman, Kubernetes",IoT,Undergraduate,6,Embedded Systems Engineer
"Docker, AWS, Tableau, Embedded Systems, Networking, NLP, Git","Figma, AWS EC2, Azure Portal, GitLab",Data Science,Postgraduate,10,Data Scientist
"Azure, Hadoop, Data Analysis, Spark, UI/UX, JavaScript","Figma, Kubernetes",AI/ML,Undergraduate,10,AI Engineer
"AWS, Tableau, Cybersecurity, Hadoop, React, HTML, Linux","GitHub, VS Code, PyCharm",IoT,Postgraduate,2,Embedded Systems Engineer
"Tableau, REST APIs, React, HTML","Kubernetes, AWS EC2, Azure Portal, VS Code",AI/ML,Undergraduate,8,AI Engineer
"Spark, NLP, Docker, Linux, Git, Embedded Systems","Postman, GitLab, Figma, Google Cloud",Design,Postgraduate,2,UI/UX Designer
"Deep Learning, Embedded Systems, Tableau, Machine Learning, Java, AWS, React","GitHub, Postman, Jira",Design,Postgraduate,2,UI/UX Designer
"Machine Learning, REST APIs, Java, Spark","VS Code, AWS EC2",Cloud,Graduate,5,DevOps Engineer
"Python, Power BI, Figma, NLP, HTML, Deep Learning","Google Cloud, Jupyter, PyCharm, Kubernetes",Cybersecurity,Undergraduate,0,Cybersecurity Analyst
"Spark, Embedded Systems, Cybersecurity, Git, C++, Linux, JavaScript","Azure Portal, AWS EC2, Jupyter",Design,Postgraduate,1,UI/UX Designer
"Spark, SQL, Power BI, Linux","VS Code, PyCharm, Google Cloud, Figma",Design,Postgraduate,7,UI/UX Designer
"UI/UX, Docker, Power BI, TensorFlow","Kubernetes, Google Cloud",Design,Undergraduate,10,UI/UX Designer
"PyTorch, Git, Python, AWS","Kubernetes, GitHub",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"REST APIs, Spark, Power BI, Statistics, Java","Jupyter, Kubernetes",AI/ML,Graduate,3,Machine Learning Engineer
"Tableau, Git, CSS, Java, Figma, JavaScript, Azure","Jira, PyCharm, Azure Portal",AI/ML,Postgraduate,9,Machine Learning Engineer
"Spark, Python, Azure, Deep Learning, Cybersecurity, React, Kubernetes","Postman, Google Cloud",Web Development,Graduate,5,Frontend Developer
"Tableau, TensorFlow, Deep Learning, Kubernetes","Jupyter, Azure Portal, GitLab, Postman",IoT,Graduate,8,Embedded Systems Engineer
"React, TensorFlow, PyTorch, Cybersecurity","Figma, PyCharm, Google Cloud, GitHub",Design,Undergraduate,8,UI/UX Designer
"Git, Machine Learning, AWS, Networking, REST APIs, Spark","GitLab, Google Cloud",Cloud,Postgraduate,9,DevOps Engineer
"Deep Learning, Azure, Docker, React, REST APIs","Jira, Kubernetes, AWS EC2",Cloud,Postgraduate,1,DevOps Engineer
"Networking, Linux, Embedded Systems, Machine Learning","AWS EC2, Kubernetes",Data Science,Graduate,5,Data Scientist
"Embedded Systems, C++, Python, HTML, Hadoop","Azure Portal, AWS EC2, Google Cloud",AI/ML,Graduate,3,Machine Learning Engineer
"JavaScript, Hadoop, Machine Learning, Data Analysis","Docker, Figma, PyCharm, Kubernetes",Cloud,Postgraduate,1,Cloud Engineer
"CSS, Hadoop, Cybersecurity, Figma, Linux, Statistics","Kubernetes, VS Code",Cybersecurity,Postgraduate,4,Cybersecurity Analyst
"TensorFlow, Statistics, Docker, Deep Learning, C++, React, UI/UX","Jira, VS Code, Kubernetes",Cloud,Postgraduate,0,DevOps Engineer
"Git, Python, UI/UX, Deep Learning, Docker, Azure","Jupyter, GitHub, Google Cloud, Docker",Data Science,Graduate,8,Data Scientist
"Power BI, NLP, Docker, SQL, Machine Learning, CSS, Hadoop","PyCharm, Google Cloud, Jira",AI/ML,Postgraduate,10,Machine Learning Engineer
"HTML, Deep Learning, AWS, Spark, Docker","Postman, AWS EC2, Docker",Data Science,Undergraduate,4,Data Analyst
"NLP, Azure, Java, REST APIs, Power BI","Google Cloud, Figma, Jira, Kubernetes",AI/ML,Undergraduate,9,AI Engineer
"Embedded Systems, AWS, HTML, Java, React, Spark","Docker, Jupyter, Figma, GitHub",Data Science,Undergraduate,4,Data Scientist
"Data Analysis, Node.js, Hadoop, React, Networking, SQL","GitHub, VS Code, Jupyter, GitLab",Design,Graduate,7,UI/UX Designer
"TensorFlow, Java, Azure, CSS, Docker","Azure Portal, Postman, AWS EC2",Cybersecurity,Undergraduate,1,Security Engineer
"Tableau, CSS, TensorFlow, REST APIs, Data Analysis","Google Cloud, VS Code, Figma, Postman",Design,Graduate,1,UI/UX Designer
"C++, Machine Learning, Python, Power BI, TensorFlow, Spark","Postman, Docker",Data Science,Postgraduate,8,Data Scientist
"TensorFlow, Figma, SQL, REST APIs, CSS, Cybersecurity, PyTorch","Jupyter, PyCharm, Azure Portal, Kubernetes",Data Science,Postgraduate,0,Data Scientist
"Docker, Azure, HTML, Statistics, REST APIs","Postman, Figma",AI/ML,Undergraduate,9,AI Engineer
"Tableau, PyTorch, Embedded Systems, Machine Learning","Docker, PyCharm",IoT,Graduate,6,Embedded Systems Engineer
"Spark, Hadoop, UI/UX, Deep Learning, JavaScript, AWS","Google Cloud, Jira",Cloud,Graduate,0,DevOps Engineer
"Tableau, PyTorch, React, Power BI, Cybersecurity, AWS","AWS EC2, Azure Portal, Jupyter",Web Development,Graduate,8,Backend Developer
"React, Python, Figma, Spark, HTML","Jira, AWS EC2, Docker",IoT,Undergraduate,1,Embedded Systems Engineer
"JavaScript, Machine Learning, TensorFlow, CSS","Figma, Postman",IoT,Graduate,4,Embedded Systems Engineer
"Spark, Statistics, Java, Machine Learning","Azure Portal, Jira, Postman, Kubernetes",Cloud,Undergraduate,7,Cloud Engineer
"Embedded Systems, Docker, Azure, Figma, Spark","Azure Portal, Jupyter, Figma",AI/ML,Graduate,3,AI Engineer
"Power BI, AWS, Java, Spark, Python","Kubernetes, AWS EC2, Jupyter",Web Development,Undergraduate,10,Frontend Developer
"Figma, CSS, Hadoop, AWS, NLP, Azure, Power BI","Azure Portal, GitHub, Postman",Data Science,Undergraduate,2,Data Analyst
"Linux, Docker, Kubernetes, Hadoop, Cybersecurity","Docker, Postman, Jira",Web Development,Postgraduate,4,Frontend Developer
"HTML, Azure, Tableau, Java, JavaScript, Kubernetes, REST APIs","GitLab, Azure Portal, Docker",Cloud,Undergraduate,5,DevOps Engineer
"Hadoop, Kubernetes, C++, Networking","Kubernetes, Jupyter, PyCharm, AWS EC2",AI/ML,Postgraduate,3,Machine Learning Engineer
"Statistics, Hadoop, Spark, Azure","Postman, Docker",Design,Postgraduate,9,UI/UX Designer
"Cybersecurity, Azure, Java, Data Analysis, Hadoop, Embedded Systems","PyCharm, Docker, Kubernetes, Postman",Data Science,Graduate,2,Data Analyst
"Figma, Hadoop, JavaScript, TensorFlow","Kubernetes, Azure Portal",Design,Postgraduate,3,UI/UX Designer
"Power BI, PyTorch, C++, SQL, React","Jira, VS Code",Data Science,Undergraduate,7,Data Scientist
"Node.js, AWS, Python, HTML, C++, Statistics","VS Code, GitLab, Jira",Cybersecurity,Undergraduate,2,Cybersecurity Analyst
"HTML, Docker, Figma, Tableau, Machine Learning","Google Cloud, Postman, Kubernetes",IoT,Postgraduate,7,Embedded Systems Engineer
"Linux, Deep Learning, Spark, Figma","GitHub, Postman, GitLab",Cybersecurity,Postgraduate,0,Cybersecurity Analyst
"CSS, AWS, Embedded Systems, React","Postman, Docker, Figma",IoT,Graduate,10,Embedded Systems Engineer
"Data Analysis, AWS, TensorFlow, Git, JavaScript, React","Google Cloud, Jira, Docker",IoT,Undergraduate,8,Embedded Systems Engineer
"Networking, Figma, TensorFlow, Spark, Linux, Azure","GitLab, Kubernetes",Data Science,Graduate,3,Data Scientist
"Azure, AWS, Power BI, Tableau, JavaScript, Figma","VS Code, Azure Portal, Google Cloud",Design,Postgraduate,8,UI/UX Designer
"React, NLP, Data Analysis, JavaScript, Git, Tableau, REST APIs","Docker, Google Cloud, GitLab, Jira",Design,Undergraduate,9,UI/UX Designer
"CSS, HTML, PyTorch, Docker, C++","AWS EC2, GitLab",Cybersecurity,Postgraduate,10,Cybersecurity Analyst
"Statistics, Kubernetes, React, Embedded Systems, CSS, C++, Data Analysis","Postman, Google Cloud",Data Science,Graduate,0,Data Analyst
"Python, Docker, TensorFlow, Statistics, Power BI","Jira, Postman, GitHub, Jupyter",Cybersecurity,Graduate,4,Security Engineer
"Node.js, Java, Docker, Linux","Postman, Kubernetes, GitHub, PyCharm",Web Development,Graduate,0,Backend Developer
"REST APIs, Docker, SQL, Tableau, Figma, Cybersecurity","Google Cloud, PyCharm, VS Code",Data Science,Postgraduate,5,Data Analyst
"Azure, Python, AWS, Java, Hadoop, Node.js, Deep Learning","Azure Portal, Figma, Postman",Design,Graduate,10,UI/UX Designer
"Azure, Cybersecurity, TensorFlow, Docker, REST APIs, Kubernetes","Figma, VS Code, Docker, Postman",Cybersecurity,Graduate,3,Security Engineer
"CSS, Hadoop, Python, Power BI, Networking, Docker","Kubernetes, Azure Portal, GitHub",Data Science,Undergraduate,6,Data Scientist
"Embedded Systems, JavaScript, NLP, Figma","Google Cloud, VS Code, GitHub, Azure Portal",Cloud,Graduate,10,Cloud Engineer
"SQL, Java, HTML, Tableau, Deep Learning, Embedded Systems","Jupyter, GitHub",Cloud,Postgraduate,4,Cloud Engineer
"Docker, Hadoop, Node.js, Tableau","Jira, Jupyter",Data Science,Postgraduate,7,Data Analyst
"React, Figma, Power BI, Azure, Statistics, Cybersecurity","Azure Portal, Figma, GitLab",Web Development,Graduate,4,Frontend Developer
"Figma, HTML, Python, Data Analysis, Kubernetes","GitLab, Jira, Docker, VS Code",Cloud,Graduate,0,DevOps Engineer
"React, UI/UX, Python, Hadoop","Jira, VS Code, Azure Portal",Web Development,Undergraduate,9,Backend Developer
"Power BI, Node.js, Statistics, Linux","Google Cloud, GitHub, Azure Portal, AWS EC2",Design,Postgraduate,5,UI/UX Designer
"Node.js, Azure, Linux, Power BI","Postman, GitHub, Figma",Design,Postgraduate,3,UI/UX Designer
"HTML, REST APIs, SQL, PyTorch, Python, Kubernetes, Spark","AWS EC2, GitLab, Docker",Cloud,Undergraduate,6,DevOps Engineer
"Spark, AWS, Hadoop, TensorFlow, Embedded Systems, NLP, Power BI","Postman, Docker, GitHub",IoT,Postgraduate,2,Embedded Systems Engineer
"JavaScript, Node.js, Networking, Embedded Systems","Kubernetes, PyCharm",Data Science,Undergraduate,3,Data Analyst
"NLP, Docker, TensorFlow, REST APIs, SQL","Postman, Figma",Cybersecurity,Undergraduate,8,Cybersecurity Analyst
"Data Analysis, Node.js, Embedded Systems, React","GitLab, AWS EC2, Google Cloud",AI/ML,Graduate,2,Machine Learning Engineer
"Kubernetes, React, Spark, Python, Linux","Jira, Jupyter, GitLab, GitHub",Cybersecurity,Undergraduate,0,Security Engineer
"Machine Learning, SQL, Networking, TensorFlow, Spark, Azure, Node.js","GitLab, GitHub",Cybersecurity,Graduate,0,Security Engineer
"C++, SQL, Git, Node.js","Postman, PyCharm",Design,Graduate,1,UI/UX Designer
"Linux, Hadoop, Git, JavaScript, Spark, REST APIs","Kubernetes, AWS EC2",Design,Postgraduate,3,UI/UX Designer
"Node.js, PyTorch, REST APIs, Machine Learning, Linux, Git","Google Cloud, Jira",Design,Graduate,3,UI/UX Designer
"TensorFlow, C++, Machine Learning, Hadoop, Azure, React","Jupyter, PyCharm, Figma, Jira",Design,Graduate,4,UI/UX Designer
"Python, Power BI, Kubernetes, Node.js, Spark, SQL","Kubernetes, Docker",Cybersecurity,Graduate,0,Cybersecurity Analyst
"Java, Tableau, Statistics, PyTorch, Docker, Machine Learning, Python","GitHub, Docker",Data Science,Postgraduate,8,Data Scientist
"Cybersecurity, Spark, Git, CSS, Azure, Python, Embedded Systems","GitHub, Figma, GitLab, Jupyter",Web Development,Graduate,9,Backend Developer
"Statistics, PyTorch, Tableau, Embedded Systems","Postman, VS Code, PyCharm",Web Development,Undergraduate,9,Backend Developer
"Figma, Python, Machine Learning, Git","Postman, Kubernetes",Design,Postgraduate,9,UI/UX Designer
"Docker, Python, Power BI, Deep Learning, Figma","Google Cloud, Figma, Docker, Postman",Web Development,Undergraduate,9,Backend Developer
"Java, Tableau, React, Statistics, Azure","Docker, Figma, AWS EC2, Jira",AI/ML,Postgraduate,9,Machine Learning Engineer
"Git, Machine Learning, React, UI/UX, Azure, Kubernetes, Python","GitLab, PyCharm, Jira, AWS EC2",Cybersecurity,Undergraduate,6,Cybersecurity Analyst
"Power BI, Java, C++, AWS, Tableau","Docker, Google Cloud, Jupyter, PyCharm",IoT,Postgraduate,10,Embedded Systems Engineer
"Python, Embedded Systems, SQL, Cybersecurity, NLP, Azure, Machine Learning","Docker, Kubernetes, AWS EC2",Data Science,Undergraduate,3,Data Scientist
"Linux, HTML, Cybersecurity, NLP, C++, Data Analysis, Docker","Kubernetes, GitHub",Design,Postgraduate,9,UI/UX Designer
"JavaScript, Embedded Systems, Networking, TensorFlow, REST APIs, Spark","Docker, VS Code, Kubernetes",Web Development,Graduate,6,Backend Developer
"Tableau, TensorFlow, Spark, CSS, HTML, Cybersecurity, Docker","Jira, AWS EC2",IoT,Undergraduate,6,Embedded Systems Engineer
"Tableau, Kubernetes, JavaScript, C++, Networking, Hadoop","Google Cloud, PyCharm",Design,Postgraduate,0,UI/UX Designer
"NLP, Docker, Tableau, Cybersecurity, Kubernetes, AWS","Figma, VS Code, Kubernetes",IoT,Graduate,9,Embedded Systems Engineer
"SQL, Linux, Cybersecurity, Node.js","Google Cloud, GitLab, Figma, PyCharm",Design,Graduate,10,UI/UX Designer
"Statistics, Embedded Systems, Kubernetes, HTML, Cybersecurity, PyTorch","Jupyter, VS Code, Docker, Kubernetes",Web Development,Undergraduate,8,Frontend Developer
"Git, HTML, CSS, Statistics, Deep Learning, UI/UX, PyTorch","Kubernetes, Azure Portal, PyCharm",Web Development,Postgraduate,8,Backend Developer
"Git, Deep Learning, TensorFlow, Networking, PyTorch, NLP","VS Code, Jupyter",Design,Graduate,2,UI/UX Designer
"Data Analysis, Deep Learning, NLP, Statistics, Embedded Systems, Git","Azure Portal, AWS EC2, PyCharm",Design,Postgraduate,1,UI/UX Designer
"PyTorch, Embedded Systems, Hadoop, Python, Linux, JavaScript, Git","GitLab, Jira",Design,Undergraduate,1,UI/UX Designer
"REST APIs, Kubernetes, Spark, Deep Learning, Python, Embedded Systems","Google Cloud, Jira",AI/ML,Undergraduate,4,AI Engineer
"Power BI, JavaScript, React, Spark","Postman, Figma, Jira, GitHub",Cybersecurity,Postgraduate,7,Security Engineer
"Java, AWS, React, JavaScript, Azure, SQL, Figma","Azure Portal, Jupyter, Kubernetes, Figma",Data Science,Postgraduate,9,Data Scientist
"Linux, C++, Embedded Systems, Figma, React, Node.js, Docker","Docker, Jupyter, Kubernetes",Design,Undergraduate,10,UI/UX Designer
"Networking, Figma, HTML, Kubernetes, TensorFlow","VS Code, GitLab, Google Cloud",IoT,Postgraduate,7,Embedded Systems Engineer
"Docker, Azure, PyTorch, Embedded Systems, SQL, Linux","VS Code, PyCharm, Azure Portal, Kubernetes",Data Science,Graduate,10,Data Analyst
"Node.js, CSS, Power BI, SQL, Tableau","Kubernetes, AWS EC2, Jira",Design,Undergraduate,9,UI/UX Designer
"CSS, HTML, NLP, AWS, Kubernetes, PyTorch","Postman, Azure Portal, Jira",IoT,Postgraduate,1,Embedded Systems Engineer
"React, CSS, Hadoop, Power BI, Machine Learning","Google Cloud, VS Code, Postman",Cybersecurity,Undergraduate,2,Security Engineer
"Java, CSS, Networking, Embedded Systems","VS Code, Postman, Jira, Google Cloud",Cloud,Postgraduate,1,Cloud Engineer
"CSS, Power BI, JavaScript, Java","GitHub, Kubernetes, PyCharm, GitLab",AI/ML,Graduate,0,Machine Learning Engineer
"Networking, NLP, HTML, TensorFlow","Figma, AWS EC2",Data Science,Graduate,9,Data Analyst
"Machine Learning, CSS, Figma, REST APIs, Embedded Systems","Kubernetes, VS Code, AWS EC2, Jupyter",Web Development,Postgraduate,2,Backend Developer
"Machine Learning, Networking, Embedded Systems, Power BI, Hadoop","Kubernetes, Jupyter",Cloud,Graduate,6,Cloud Engineer
"AWS, Cybersecurity, NLP, Azure","AWS EC2, Figma",Design,Graduate,5,UI/UX Designer
"NLP, C++, Deep Learning, Machine Learning, Networking","PyCharm, Azure Portal, Jira",AI/ML,Undergraduate,6,Machine Learning Engineer
"Networking, HTML, C++, TensorFlow, NLP, Hadoop","Jira, VS Code",AI/ML,Postgraduate,7,AI Engineer
"Git, REST APIs, Python, Power BI, HTML, Data Analysis","GitLab, Docker, Figma, Google Cloud",Cybersecurity,Undergraduate,1,Security Engineer
"TensorFlow, Kubernetes, PyTorch, Power BI, Data Analysis","Jupyter, Azure Portal, Figma",Data Science,Postgraduate,8,Data Analyst
"Statistics, Machine Learning, JavaScript, UI/UX, PyTorch, C++","VS Code, Jupyter, Kubernetes, Jira",IoT,Postgraduate,4,Embedded Systems Engineer
"AWS, Docker, Tableau, JavaScript","Jira, Figma, Azure Portal, Google Cloud",Design,Graduate,7,UI/UX Designer
"AWS, Embedded Systems, Deep Learning, Azure, REST APIs, NLP","VS Code, Postman",Web Development,Undergraduate,10,Backend Developer
"Linux, Data Analysis, C++, PyTorch, Kubernetes, Git, Power BI","Azure Portal, AWS EC2, Google Cloud, GitLab",Data Science,Undergraduate,3,Data Analyst
"Networking, Cybersecurity, PyTorch, HTML","Postman, GitHub, Azure Portal",AI/ML,Postgraduate,2,AI Engineer
"Tableau, Spark, CSS, Deep Learning, AWS, Data Analysis","Docker, AWS EC2, VS Code",Web Development,Undergraduate,9,Frontend Developer
"Azure, Deep Learning, Hadoop, JavaScript, Tableau, Java","Jira, Kubernetes, Azure Portal",AI/ML,Postgraduate,3,Machine Learning Engineer
"React, AWS, Java, Python, Spark, UI/UX","Jira, Azure Portal, AWS EC2",IoT,Graduate,0,Embedded Systems Engineer
"PyTorch, UI/UX, SQL, Data Analysis","Jupyter, Docker, Kubernetes",Web Development,Graduate,4,Backend Developer
"NLP, Data Analysis, Azure, Node.js, Machine Learning","GitHub, VS Code, Jupyter",Data Science,Postgraduate,7,Data Analyst
"AWS, Networking, Linux, Deep Learning","Jira, Figma, Google Cloud, Azure Portal",Cybersecurity,Postgraduate,3,Cybersecurity Analyst
"Linux, Docker, CSS, AWS, C++, PyTorch, Spark","Kubernetes, AWS EC2, Postman, Google Cloud",Cloud,Postgraduate,2,Cloud Engineer
"Linux, Kubernetes, Networking, REST APIs, Git","VS Code, Jupyter",AI/ML,Postgraduate,7,Machine Learning Engineer
"CSS, SQL, Statistics, PyTorch, Power BI, HTML, Node.js","GitLab, Kubernetes, Jira",Cybersecurity,Graduate,4,Security Engineer
"Networking, UI/UX, Node.js, CSS, React","Jira, GitHub, Jupyter, VS Code",Design,Undergraduate,7,UI/UX Designer
"React, HTML, TensorFlow, SQL, AWS, Deep Learning","Kubernetes, AWS EC2, VS Code",AI/ML,Undergraduate,9,AI Engineer
"Deep Learning, Java, Figma, Node.js, Machine Learning","Azure Portal, VS Code, AWS EC2, Google Cloud",AI/ML,Postgraduate,0,AI Engineer
"NLP, Java, Power BI, Azure, SQL, PyTorch, Embedded Systems","Figma, Jira",Cybersecurity,Graduate,0,Cybersecurity Analyst
"C++, Kubernetes, UI/UX, REST APIs, Cybersecurity, Docker, Power BI","Kubernetes, Google Cloud, Figma, Docker",IoT,Undergraduate,9,Embedded Systems Engineer
"PyTorch, Python, Machine Learning, Networking","GitHub, Azure Portal",Web Development,Graduate,6,Frontend Developer
"JavaScript, C++, REST APIs, PyTorch","Google Cloud, Jira",Design,Graduate,3,UI/UX Designer
"Cybersecurity, Networking, Hadoop, Figma, Spark, UI/UX","PyCharm, Figma",Design,Postgraduate,4,UI/UX Designer
"JavaScript, TensorFlow, React, Networking, Power BI, Git, PyTorch","VS Code, Kubernetes, AWS EC2",Data Science,Postgraduate,2,Data Analyst
"C++, Hadoop, SQL, Figma, PyTorch","Jupyter, GitHub, Docker",Data Science,Postgraduate,6,Data Scientist
"Linux, Hadoop, HTML, Azure, Cybersecurity, Figma","PyCharm, Docker, GitLab, VS Code",Data Science,Undergraduate,2,Data Analyst
"SQL, Deep Learning, CSS, Linux","GitLab, AWS EC2, Google Cloud, VS Code",IoT,Undergraduate,2,Embedded Systems Engineer
"UI/UX, REST APIs, Networking, Docker, NLP","Postman, Azure Portal, PyCharm",Cybersecurity,Postgraduate,9,Security Engineer
"Git, Azure, Power BI, TensorFlow","Jupyter, GitLab",AI/ML,Postgraduate,4,Machine Learning Engineer
"NLP, Networking, Deep Learning, Hadoop, Data Analysis","Azure Portal, Jupyter, Kubernetes, Docker",IoT,Postgraduate,5,Embedded Systems Engineer
"Spark, Deep Learning, Linux, REST APIs","VS Code, Jupyter, Azure Portal, GitLab",AI/ML,Graduate,5,Machine Learning Engineer
"Node.js, Power BI, Azure, AWS, CSS","Figma, VS Code, Kubernetes",Web Development,Postgraduate,6,Frontend Developer
"REST APIs, UI/UX, Spark, Figma, JavaScript, Java","Jupyter, AWS EC2, PyCharm",Web Development,Undergraduate,1,Frontend Developer
"REST APIs, NLP, SQL, React","Google Cloud, GitHub, Postman, Jira",AI/ML,Undergraduate,4,Machine Learning Engineer
"Figma, Git, Tableau, HTML, CSS, Networking","Docker, Azure Portal, Google Cloud, PyCharm",Data Science,Undergraduate,9,Data Analyst
"SQL, Git, CSS, HTML","AWS EC2, GitLab, Postman",Cloud,Postgraduate,2,DevOps Engineer
"Embedded Systems, Tableau, CSS, C++","VS Code, Kubernetes",Data Science,Postgraduate,10,Data Analyst
"Deep Learning, Statistics, REST APIs, Docker, Kubernetes","Docker, Jupyter",Cloud,Undergraduate,3,Cloud Engineer
"React, Figma, Machine Learning, Git, Embedded Systems, Kubernetes","PyCharm, Figma, Docker",Design,Graduate,10,UI/UX Designer
"Docker, Tableau, Node.js, Linux, React, C++, Networking","GitLab, Figma, Google Cloud",AI/ML,Graduate,4,Machine Learning Engineer
"UI/UX, SQL, React, Kubernetes","Azure Portal, PyCharm, GitLab, Docker",Data Science,Graduate,0,Data Scientist
"CSS, Machine Learning, React, Power BI","Azure Portal, Jira, Google Cloud, Figma",Design,Postgraduate,1,UI/UX Designer
"Java, JavaScript, PyTorch, CSS, Power BI, REST APIs, Kubernetes","Jupyter, Postman, Figma, PyCharm",IoT,Postgraduate,4,Embedded Systems Engineer
"TensorFlow, CSS, React, C++, PyTorch, Python","Kubernetes, Figma, Jira",AI/ML,Undergraduate,3,AI Engineer
"UI/UX, Figma, SQL, Hadoop, TensorFlow, Data Analysis","Kubernetes, Jupyter",Design,Undergraduate,6,UI/UX Designer
"React, TensorFlow, Tableau, AWS, Docker, NLP, Statistics","GitHub, Google Cloud",AI/ML,Graduate,1,Machine Learning Engineer
"PyTorch, Machine Learning, UI/UX, HTML, Tableau, CSS","Docker, Figma, AWS EC2",Cybersecurity,Undergraduate,2,Security Engineer
"REST APIs, Deep Learning, React, Figma","Postman, Google Cloud, Azure Portal, Kubernetes",Cloud,Graduate,1,DevOps Engineer
"Power BI, UI/UX, Figma, SQL, Deep Learning, HTML","Figma, Jira, PyCharm, Docker",AI/ML,Graduate,8,AI Engineer
"React, Azure, Embedded Systems, Statistics, HTML","Jira, Google Cloud, Kubernetes",Cybersecurity,Postgraduate,3,Security Engineer
"C++, AWS, Docker, Figma, Cybersecurity","VS Code, Figma",Web Development,Postgraduate,7,Backend Developer
"C++, NLP, Data Analysis, Java, React, Linux, Docker","VS Code, Azure Portal",Web Development,Postgraduate,1,Backend Developer
"JavaScript, Docker, Embedded Systems, NLP","VS Code, Figma",IoT,Graduate,5,Embedded Systems Engineer
"C++, Spark, Linux, AWS","Azure Portal, Jira",Cybersecurity,Undergraduate,9,Cybersecurity Analyst
