,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
73,"figma, css, hadoop, aws, nlp, azure, power bi","azure portal, github, postman",data science,undergraduate,Data Analyst,data analyst
74,"linux, docker, kubernetes, hadoop, cybersecurity","docker, postman, jira",web development,postgraduate,Frontend Developer,frontend developer
75,"html, azure, tableau, java, javascript, kubernetes, rest apis","gitlab, azure portal, docker",cloud,undergraduate,DevOps Engineer,devops engineer
76,"hadoop, kubernetes, c++, networking","kubernetes, jupyter, pycharm, aws ec2",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
77,"statistics, hadoop, spark, azure","postman, docker",design,postgraduate,UI/UX Designer,ui/ux designer
78,"cybersecurity, azure, java, data analysis, hadoop, embedded systems","pycharm, docker, kubernetes, postman",data science,graduate,Data Analyst,data analyst
79,"figma, hadoop, javascript, tensorflow","kubernetes, azure portal",design,postgraduate,UI/UX Designer,ui/ux designer
80,"power bi, pytorch, c++, sql, react","jira, vs code",data science,undergraduate,Data Scientist,data scientist
81,"node.js, aws, python, html, c++, statistics","vs code, gitlab, jira",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
82,"html, docker, figma, tableau, machine learning","google cloud, postman, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
83,"linux, deep learning, spark, figma","github, postman, gitlab",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
84,"css, aws, embedded systems, react","postman, docker, figma",iot,graduate,Embedded Systems Engineer,embedded systems engineer
85,"data analysis, aws, tensorflow, git, javascript, react","google cloud, jira, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
86,"networking, figma, tensorflow, spark, linux, azure","gitlab, kubernetes",data science,graduate,Data Scientist,data scientist
87,"azure, aws, power bi, tableau, javascript, figma","vs code, azure portal, google cloud",design,postgraduate,UI/UX Designer,ui/ux designer
88,"react, nlp, data analysis, javascript, git, tableau, rest apis","docker, google cloud, gitlab, jira",design,undergraduate,UI/UX Designer,ui/ux designer
89,"css, html, pytorch, docker, c++","aws ec2, gitlab",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
90,"statistics, kubernetes, react, embedded systems, css, c++, data analysis","postman, google cloud",data science,graduate,Data Analyst,data analyst
91,"python, docker, tensorflow, statistics, power bi","jira, postman, github, jupyter",cybersecurity,graduate,Security Engineer,security engineer
92,"node.js, java, docker, linux","postman, kubernetes, github, pycharm",web development,graduate,Backend Developer,backend developer
93,"rest apis, docker, sql, tableau, figma, cybersecurity","google cloud, pycharm, vs code",data science,postgraduate,Data Analyst,data analyst
94,"azure, python, aws, java, hadoop, node.js, deep learning","azure portal, figma, postman",design,graduate,UI/UX Designer,ui/ux designer
95,"azure, cybersecurity, tensorflow, docker, rest apis, kubernetes","figma, vs code, docker, postman",cybersecurity,graduate,Security Engineer,security engineer
96,"css, hadoop, python, power bi, networking, docker","kubernetes, azure portal, github",data science,undergraduate,Data Scientist,data scientist
97,"embedded systems, javascript, nlp, figma","google cloud, vs code, github, azure portal",cloud,graduate,Cloud Engineer,cloud engineer
98,"sql, java, html, tableau, deep learning, embedded systems","jupyter, github",cloud,postgraduate,Cloud Engineer,cloud engineer
99,"docker, hadoop, node.js, tableau","jira, jupyter",data science,postgraduate,Data Analyst,data analyst
100,"react, figma, power bi, azure, statistics, cybersecurity","azure portal, figma, gitlab",web development,graduate,Frontend Developer,frontend developer
101,"figma, html, python, data analysis, kubernetes","gitlab, jira, docker, vs code",cloud,graduate,DevOps Engineer,devops engineer
102,"react, ui/ux, python, hadoop","jira, vs code, azure portal",web development,undergraduate,Backend Developer,backend developer
103,"power bi, node.js, statistics, linux","google cloud, github, azure portal, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
104,"node.js, azure, linux, power bi","postman, github, figma",design,postgraduate,UI/UX Designer,ui/ux designer
105,"html, rest apis, sql, pytorch, python, kubernetes, spark","aws ec2, gitlab, docker",cloud,undergraduate,DevOps Engineer,devops engineer
106,"spark, aws, hadoop, tensorflow, embedded systems, nlp, power bi","postman, docker, github",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
107,"javascript, node.js, networking, embedded systems","kubernetes, pycharm",data science,undergraduate,Data Analyst,data analyst
108,"nlp, docker, tensorflow, rest apis, sql","postman, figma",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
109,"data analysis, node.js, embedded systems, react","gitlab, aws ec2, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
110,"kubernetes, react, spark, python, linux","jira, jupyter, gitlab, github",cybersecurity,undergraduate,Security Engineer,security engineer
111,"machine learning, sql, networking, tensorflow, spark, azure, node.js","gitlab, github",cybersecurity,graduate,Security Engineer,security engineer
112,"c++, sql, git, node.js","postman, pycharm",design,graduate,UI/UX Designer,ui/ux designer
113,"linux, hadoop, git, javascript, spark, rest apis","kubernetes, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
114,"node.js, pytorch, rest apis, machine learning, linux, git","google cloud, jira",design,graduate,UI/UX Designer,ui/ux designer
115,"tensorflow, c++, machine learning, hadoop, azure, react","jupyter, pycharm, figma, jira",design,graduate,UI/UX Designer,ui/ux designer
116,"python, power bi, kubernetes, node.js, spark, sql","kubernetes, docker",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
117,"java, tableau, statistics, pytorch, docker, machine learning, python","github, docker",data science,postgraduate,Data Scientist,data scientist
118,"cybersecurity, spark, git, css, azure, python, embedded systems","github, figma, gitlab, jupyter",web development,graduate,Backend Developer,backend developer
119,"statistics, pytorch, tableau, embedded systems","postman, vs code, pycharm",web development,undergraduate,Backend Developer,backend developer
120,"figma, python, machine learning, git","postman, kubernetes",design,postgraduate,UI/UX Designer,ui/ux designer
121,"docker, python, power bi, deep learning, figma","google cloud, figma, docker, postman",web development,undergraduate,Backend Developer,backend developer
122,"java, tableau, react, statistics, azure","docker, figma, aws ec2, jira",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
123,"git, machine learning, react, ui/ux, azure, kubernetes, python","gitlab, pycharm, jira, aws ec2",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
124,"power bi, java, c++, aws, tableau","docker, google cloud, jupyter, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
125,"python, embedded systems, sql, cybersecurity, nlp, azure, machine learning","docker, kubernetes, aws ec2",data science,undergraduate,Data Scientist,data scientist
126,"linux, html, cybersecurity, nlp, c++, data analysis, docker","kubernetes, github",design,postgraduate,UI/UX Designer,ui/ux designer
127,"javascript, embedded systems, networking, tensorflow, rest apis, spark","docker, vs code, kubernetes",web development,graduate,Backend Developer,backend developer
128,"tableau, tensorflow, spark, css, html, cybersecurity, docker","jira, aws ec2",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
129,"tableau, kubernetes, javascript, c++, networking, hadoop","google cloud, pycharm",design,postgraduate,UI/UX Designer,ui/ux designer
130,"nlp, docker, tableau, cybersecurity, kubernetes, aws","figma, vs code, kubernetes",iot,graduate,Embedded Systems Engineer,embedded systems engineer
131,"sql, linux, cybersecurity, node.js","google cloud, gitlab, figma, pycharm",design,graduate,UI/UX Designer,ui/ux designer
132,"statistics, embedded systems, kubernetes, html, cybersecurity, pytorch","jupyter, vs code, docker, kubernetes",web development,undergraduate,Frontend Developer,frontend developer
133,"git, html, css, statistics, deep learning, ui/ux, pytorch","kubernetes, azure portal, pycharm",web development,postgraduate,Backend Developer,backend developer
134,"git, deep learning, tensorflow, networking, pytorch, nlp","vs code, jupyter",design,graduate,UI/UX Designer,ui/ux designer
135,"data analysis, deep learning, nlp, statistics, embedded systems, git","azure portal, aws ec2, pycharm",design,postgraduate,UI/UX Designer,ui/ux designer
136,"pytorch, embedded systems, hadoop, python, linux, javascript, git","gitlab, jira",design,undergraduate,UI/UX Designer,ui/ux designer
137,"rest apis, kubernetes, spark, deep learning, python, embedded systems","google cloud, jira",ai/ml,undergraduate,AI Engineer,ai engineer
138,"power bi, javascript, react, spark","postman, figma, jira, github",cybersecurity,postgraduate,Security Engineer,security engineer
139,"java, aws, react, javascript, azure, sql, figma","azure portal, jupyter, kubernetes, figma",data science,postgraduate,Data Scientist,data scientist
140,"linux, c++, embedded systems, figma, react, node.js, docker","docker, jupyter, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
141,"networking, figma, html, kubernetes, tensorflow","vs code, gitlab, google cloud",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
142,"docker, azure, pytorch, embedded systems, sql, linux","vs code, pycharm, azure portal, kubernetes",data science,graduate,Data Analyst,data analyst
143,"node.js, css, power bi, sql, tableau","kubernetes, aws ec2, jira",design,undergraduate,UI/UX Designer,ui/ux designer
144,"css, html, nlp, aws, kubernetes, pytorch","postman, azure portal, jira",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
145,"react, css, hadoop, power bi, machine learning","google cloud, vs code, postman",cybersecurity,undergraduate,Security Engineer,security engineer
146,"java, css, networking, embedded systems","vs code, postman, jira, google cloud",cloud,postgraduate,Cloud Engineer,cloud engineer
147,"css, power bi, javascript, java","github, kubernetes, pycharm, gitlab",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
148,"networking, nlp, html, tensorflow","figma, aws ec2",data science,graduate,Data Analyst,data analyst
149,"machine learning, css, figma, rest apis, embedded systems","kubernetes, vs code, aws ec2, jupyter",web development,postgraduate,Backend Developer,backend developer
150,"machine learning, networking, embedded systems, power bi, hadoop","kubernetes, jupyter",cloud,graduate,Cloud Engineer,cloud engineer
151,"aws, cybersecurity, nlp, azure","aws ec2, figma",design,graduate,UI/UX Designer,ui/ux designer
152,"nlp, c++, deep learning, machine learning, networking","pycharm, azure portal, jira",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
153,"networking, html, c++, tensorflow, nlp, hadoop","jira, vs code",ai/ml,postgraduate,AI Engineer,ai engineer
154,"git, rest apis, python, power bi, html, data analysis","gitlab, docker, figma, google cloud",cybersecurity,undergraduate,Security Engineer,security engineer
155,"tensorflow, kubernetes, pytorch, power bi, data analysis","jupyter, azure portal, figma",data science,postgraduate,Data Analyst,data analyst
156,"statistics, machine learning, javascript, ui/ux, pytorch, c++","vs code, jupyter, kubernetes, jira",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
157,"aws, docker, tableau, javascript","jira, figma, azure portal, google cloud",design,graduate,UI/UX Designer,ui/ux designer
158,"aws, embedded systems, deep learning, azure, rest apis, nlp","vs code, postman",web development,undergraduate,Backend Developer,backend developer
159,"linux, data analysis, c++, pytorch, kubernetes, git, power bi","azure portal, aws ec2, google cloud, gitlab",data science,undergraduate,Data Analyst,data analyst
160,"networking, cybersecurity, pytorch, html","postman, github, azure portal",ai/ml,postgraduate,AI Engineer,ai engineer
161,"tableau, spark, css, deep learning, aws, data analysis","docker, aws ec2, vs code",web development,undergraduate,Frontend Developer,frontend developer
162,"azure, deep learning, hadoop, javascript, tableau, java","jira, kubernetes, azure portal",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
163,"react, aws, java, python, spark, ui/ux","jira, azure portal, aws ec2",iot,graduate,Embedded Systems Engineer,embedded systems engineer
164,"pytorch, ui/ux, sql, data analysis","jupyter, docker, kubernetes",web development,graduate,Backend Developer,backend developer
165,"nlp, data analysis, azure, node.js, machine learning","github, vs code, jupyter",data science,postgraduate,Data Analyst,data analyst
166,"aws, networking, linux, deep learning","jira, figma, google cloud, azure portal",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
167,"linux, docker, css, aws, c++, pytorch, spark","kubernetes, aws ec2, postman, google cloud",cloud,postgraduate,Cloud Engineer,cloud engineer
168,"linux, kubernetes, networking, rest apis, git","vs code, jupyter",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
169,"css, sql, statistics, pytorch, power bi, html, node.js","gitlab, kubernetes, jira",cybersecurity,graduate,Security Engineer,security engineer
170,"networking, ui/ux, node.js, css, react","jira, github, jupyter, vs code",design,undergraduate,UI/UX Designer,ui/ux designer
171,"react, html, tensorflow, sql, aws, deep learning","kubernetes, aws ec2, vs code",ai/ml,undergraduate,AI Engineer,ai engineer
172,"deep learning, java, figma, node.js, machine learning","azure portal, vs code, aws ec2, google cloud",ai/ml,postgraduate,AI Engineer,ai engineer
173,"nlp, java, power bi, azure, sql, pytorch, embedded systems","figma, jira",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
174,"c++, kubernetes, ui/ux, rest apis, cybersecurity, docker, power bi","kubernetes, google cloud, figma, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
175,"pytorch, python, machine learning, networking","github, azure portal",web development,graduate,Frontend Developer,frontend developer
176,"javascript, c++, rest apis, pytorch","google cloud, jira",design,graduate,UI/UX Designer,ui/ux designer
177,"cybersecurity, networking, hadoop, figma, spark, ui/ux","pycharm, figma",design,postgraduate,UI/UX Designer,ui/ux designer
178,"javascript, tensorflow, react, networking, power bi, git, pytorch","vs code, kubernetes, aws ec2",data science,postgraduate,Data Analyst,data analyst
179,"c++, hadoop, sql, figma, pytorch","jupyter, github, docker",data science,postgraduate,Data Scientist,data scientist
180,"linux, hadoop, html, azure, cybersecurity, figma","pycharm, docker, gitlab, vs code",data science,undergraduate,Data Analyst,data analyst
181,"sql, deep learning, css, linux","gitlab, aws ec2, google cloud, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
182,"ui/ux, rest apis, networking, docker, nlp","postman, azure portal, pycharm",cybersecurity,postgraduate,Security Engineer,security engineer
183,"git, azure, power bi, tensorflow","jupyter, gitlab",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
184,"nlp, networking, deep learning, hadoop, data analysis","azure portal, jupyter, kubernetes, docker",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
185,"spark, deep learning, linux, rest apis","vs code, jupyter, azure portal, gitlab",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
186,"node.js, power bi, azure, aws, css","figma, vs code, kubernetes",web development,postgraduate,Frontend Developer,frontend developer
187,"rest apis, ui/ux, spark, figma, javascript, java","jupyter, aws ec2, pycharm",web development,undergraduate,Frontend Developer,frontend developer
188,"rest apis, nlp, sql, react","google cloud, github, postman, jira",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
189,"figma, git, tableau, html, css, networking","docker, azure portal, google cloud, pycharm",data science,undergraduate,Data Analyst,data analyst
190,"sql, git, css, html","aws ec2, gitlab, postman",cloud,postgraduate,DevOps Engineer,devops engineer
191,"embedded systems, tableau, css, c++","vs code, kubernetes",data science,postgraduate,Data Analyst,data analyst
192,"deep learning, statistics, rest apis, docker, kubernetes","docker, jupyter",cloud,undergraduate,Cloud Engineer,cloud engineer
193,"react, figma, machine learning, git, embedded systems, kubernetes","pycharm, figma, docker",design,graduate,UI/UX Designer,ui/ux designer
194,"docker, tableau, node.js, linux, react, c++, networking","gitlab, figma, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
195,"ui/ux, sql, react, kubernetes","azure portal, pycharm, gitlab, docker",data science,graduate,Data Scientist,data scientist
196,"css, machine learning, react, power bi","azure portal, jira, google cloud, figma",design,postgraduate,UI/UX Designer,ui/ux designer
197,"java, javascript, pytorch, css, power bi, rest apis, kubernetes","jupyter, postman, figma, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
198,"tensorflow, css, react, c++, pytorch, python","kubernetes, figma, jira",ai/ml,undergraduate,AI Engineer,ai engineer
199,"ui/ux, figma, sql, hadoop, tensorflow, data analysis","kubernetes, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
200,"react, tensorflow, tableau, aws, docker, nlp, statistics","github, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
201,"pytorch, machine learning, ui/ux, html, tableau, css","docker, figma, aws ec2",cybersecurity,undergraduate,Security Engineer,security engineer
202,"rest apis, deep learning, react, figma","postman, google cloud, azure portal, kubernetes",cloud,graduate,DevOps Engineer,devops engineer
203,"power bi, ui/ux, figma, sql, deep learning, html","figma, jira, pycharm, docker",ai/ml,graduate,AI Engineer,ai engineer
204,"react, azure, embedded systems, statistics, html","jira, google cloud, kubernetes",cybersecurity,postgraduate,Security Engineer,security engineer
205,"c++, aws, docker, figma, cybersecurity","vs code, figma",web development,postgraduate,Backend Developer,backend developer
206,"c++, nlp, data analysis, java, react, linux, docker","vs code, azure portal",web development,postgraduate,Backend Developer,backend developer
207,"javascript, docker, embedded systems, nlp","vs code, figma",iot,graduate,Embedded Systems Engineer,embedded systems engineer
208,"c++, spark, linux, aws","azure portal, jira",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
209,"spark, machine learning, data analysis, azure, aws","gitlab, kubernetes",data science,graduate,Data Analyst,data analyst
210,"hadoop, python, pytorch, aws, statistics","docker, figma, aws ec2",cloud,postgraduate,DevOps Engineer,devops engineer
211,"figma, spark, aws, python, git, tableau, javascript","aws ec2, gitlab, google cloud",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
212,"pytorch, figma, sql, tensorflow","kubernetes, vs code, jira",web development,undergraduate,Backend Developer,backend developer
213,"git, python, tableau, linux, html, deep learning","google cloud, aws ec2, docker",web development,undergraduate,Backend Developer,backend developer
214,"ui/ux, machine learning, hadoop, tensorflow, kubernetes","figma, pycharm, postman",cybersecurity,postgraduate,Security Engineer,security engineer
215,"deep learning, cybersecurity, node.js, docker, pytorch","kubernetes, google cloud, jira, gitlab",design,graduate,UI/UX Designer,ui/ux designer
216,"cybersecurity, machine learning, javascript, rest apis, power bi","github, docker, postman",web development,postgraduate,Backend Developer,backend developer
217,"linux, tensorflow, react, node.js, spark, sql, docker","vs code, google cloud, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
218,"figma, embedded systems, tensorflow, cybersecurity, docker","google cloud, vs code, docker, figma",design,undergraduate,UI/UX Designer,ui/ux designer
219,"cybersecurity, css, html, rest apis","vs code, jupyter",web development,postgraduate,Backend Developer,backend developer
220,"data analysis, react, javascript, rest apis, python","github, docker, figma, google cloud",web development,postgraduate,Backend Developer,backend developer
221,"azure, machine learning, docker, hadoop, cybersecurity, css, c++","vs code, azure portal, pycharm",design,graduate,UI/UX Designer,ui/ux designer
222,"azure, power bi, figma, ui/ux, linux, embedded systems, javascript","gitlab, jupyter, azure portal",cloud,postgraduate,Cloud Engineer,cloud engineer
223,"nlp, ui/ux, hadoop, node.js, data analysis, javascript, spark","azure portal, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
224,"azure, machine learning, java, ui/ux","vs code, azure portal, kubernetes",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
